City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,praia da vitoria,38.7333,-27.0667,289.29,82,40,4.07,PT,1698612465
288,mossel bay,-34.1831,22.146,285.11,60,0,10.49,ZA,1698612509
289,zaozersk,69.4005,32.4476,265.48,94,100,1.76,RU,1698612494
290,sola,-13.8833,167.55,299.21,81,28,6.62,VU,1698612574
291,loushanguan,28.1375,106.82,285.98,92,0,0.37,CN,1698612574
292,longboat key,27.4125,-82.659,304.83,46,40,6.69,US,1698612575
293,katsuura,35.1333,140.3,288.1,66,0,5.0,JP,1698612575
294,touros,-5.1989,-35.4608,298.59,77,77,8.0,BR,1698612450
295,kayangel,8.0823,134.7173,301.14,76,28,3.51,PW,1698612443
296,ghat,24.9647,10.1728,300.11,19,13,2.83,LY,1698612438
297,klyuchi,52.2667,79.1667,272.41,92,100,1.62,RU,1698612421
298,turabah,21.2141,41.6331,295.66,57,35,2.15,SA,1698612577
299,qina,26.1642,32.7267,301.07,35,2,2.37,EG,1698612577
300,puerto lempira,15.2667,-83.7667,302.23,74,75,4.12,HN,1698612579
301,tamanrasset,22.785,5.5228,299.1,15,40,2.06,DZ,1698612447
302,alofi,-19.0595,-169.9187,293.09,100,75,6.69,NU,1698612493
303,waingapu,-9.6567,120.2641,298.69,85,35,2.32,ID,1698612580
304,yeppoon,-23.1333,150.7333,290.03,61,79,2.17,AU,1698612439
305,punta arenas,-53.15,-70.9167,282.21,49,20,8.75,CL,1698612410
306,santa maria,-29.6842,-53.8069,302.76,54,20,2.06,BR,1698612156
307,vadso,70.0744,29.7487,267.24,86,75,3.6,NO,1698612430
308,leticia,-4.2153,-69.9406,296.14,88,100,2.06,CO,1698612583
309,lata,40.1629,-8.3327,290.27,96,74,2.05,PT,1698612501
310,mar del plata,-38.0023,-57.5575,290.16,49,0,7.72,AR,1698612477
311,kitimat,54.0524,-128.6534,274.36,44,87,0.17,CA,1698612584
312,harper,4.375,-7.7169,299.11,87,0,2.93,LR,1698612584
313,houmt el souk,33.8758,10.8575,299.12,73,20,5.14,TN,1698612584
314,conde,-7.2597,-34.9075,299.85,74,40,6.17,BR,1698612460
315,sidney,-33.8679,151.2073,294.6,75,0,3.6,AU,1698612302
316,villa regina,-39.1,-67.0667,289.25,15,31,6.71,AR,1698612585
317,nolinsk,57.5596,49.9363,271.24,95,100,3.58,RU,1698612585
318,brewton,31.1052,-87.0722,302.94,59,0,3.24,US,1698612585
319,ulyanovsk,54.0,48.0,273.52,91,100,7.63,RU,1698612586
320,taytay,14.5678,121.1394,300.32,87,20,1.03,PH,1698612586
321,vereshchagino,58.0789,54.6557,269.8,94,100,4.87,RU,1698612586
